user,timestamp,activity,x-axis,y-axis,z-axis
Enter ID Here,1.75425E+12,Brushing teeth,-9.067163,-1.4792532,4.8605742
Enter ID Here,1.75425E+12,Brushing teeth,-6.7782135,8.410782,3.43043
Enter ID Here,1.75425E+12,Brushing teeth,-9.541482,-5.5972066,2.2614007
Enter ID Here,1.75425E+12,Brushing teeth,-10.693743,-8.395211,4.0424933
Enter ID Here,1.75425E+12,Brushing teeth,-7.688523,3.686754,5.343278
Enter ID Here,1.75425E+12,Brushing teeth,-9.20371,-1.0145161,5.284587
Enter ID Here,1.75425E+12,Brushing teeth,-9.561845,-5.401969,3.6951385
Enter ID Here,1.75425E+12,Brushing teeth,-8.268247,2.8291464,3.2363904
Enter ID Here,1.75425E+12,Brushing teeth,-8.156854,3.1190083,3.4292321
Enter ID Here,1.75425E+12,Brushing teeth,-10.578756,-6.7362914,4.109569
Enter ID Here,1.75425E+12,Brushing teeth,-9.406134,-1.5319552,4.0005713
Enter ID Here,1.75425E+12,Brushing teeth,-8.792872,8.227522,2.2302587
Enter ID Here,1.75425E+12,Brushing teeth,-7.886156,10.1918745,3.964638
Enter ID Here,1.75425E+12,Brushing teeth,-7.6106677,5.107316,4.455726
Enter ID Here,1.75425E+12,Brushing teeth,-8.081393,1.9847145,4.6880946
Enter ID Here,1.75425E+12,Brushing teeth,-9.042009,2.981264,3.879596
Enter ID Here,1.75425E+12,Brushing teeth,-8.809641,1.1259093,5.830773
Enter ID Here,1.75425E+12,Brushing teeth,-9.487582,-4.8402123,2.121261
Enter ID Here,1.75425E+12,Brushing teeth,-8.7269945,-1.7427639,3.1345794
Enter ID Here,1.75425E+12,Brushing teeth,-9.325883,-2.3895628,5.0689874
Enter ID Here,1.75425E+12,Brushing teeth,-8.117327,7.6549854,4.050878
Enter ID Here,1.75425E+12,Brushing teeth,-9.195325,-1.5858552,5.6606884
Enter ID Here,1.75425E+12,Brushing teeth,-6.3086853,8.319751,4.3886504
Enter ID Here,1.75425E+12,Brushing teeth,-8.9952965,-2.70338,6.0882945
Enter ID Here,1.75425E+12,Brushing teeth,-9.443265,1.8589481,5.1755896
Enter ID Here,1.75425E+12,Brushing teeth,-9.369002,-4.535977,3.114217
Enter ID Here,1.75425E+12,Brushing teeth,-8.021504,-2.7129622,6.3134766
Enter ID Here,1.75425E+12,Brushing teeth,-7.363926,3.8484538,5.318125
Enter ID Here,1.75425E+12,Brushing teeth,-7.5783277,7.486099,5.786455
Enter ID Here,1.75425E+12,Brushing teeth,-8.827608,-5.2558403,4.07124
Enter ID Here,1.75425E+12,Brushing teeth,-7.9532313,-2.132041,6.4584074
Enter ID Here,1.75425E+12,Brushing teeth,-9.449253,-1.1690292,4.273664
Enter ID Here,1.75425E+12,Brushing teeth,-7.362728,9.388167,4.534779
Enter ID Here,1.75425E+12,Brushing teeth,-7.2082148,-2.10569,5.8750906
Enter ID Here,1.75425E+12,Brushing teeth,-10.281708,-6.0799103,1.2564669
Enter ID Here,1.75425E+12,Brushing teeth,-6.076317,8.462286,6.2380166
Enter ID Here,1.75425E+12,Brushing teeth,-8.0730095,-0.37849715,6.799773
Enter ID Here,1.75425E+12,Brushing teeth,3.5921297,7.5220323,9.197721
Enter ID Here,1.75425E+12,Brushing teeth,-7.542394,2.6830177,5.384002
Enter ID Here,1.75425E+12,Brushing teeth,-5.906233,7.9484406,4.3682885
Enter ID Here,1.75425E+12,Brushing teeth,-8.776103,2.5680313,5.164809
Enter ID Here,1.75425E+12,Brushing teeth,-9.675633,-3.756225,4.2928286
Enter ID Here,1.75425E+12,Brushing teeth,-8.083789,6.8369045,4.0640535
Enter ID Here,1.75425E+12,Brushing teeth,-8.37964,1.6553262,5.731357
Enter ID Here,1.75425E+12,Brushing teeth,-7.319608,4.270071,5.114503
Enter ID Here,1.75425E+12,Brushing teeth,-7.2477417,2.1835454,6.3398275
Enter ID Here,1.75425E+12,Brushing teeth,-8.525768,-2.1943252,6.311081
Enter ID Here,1.75425E+12,Brushing teeth,-8.170029,5.055812,4.0472846
Enter ID Here,1.75425E+12,Brushing teeth,-8.601228,-5.0606027,3.3693433
Enter ID Here,1.75425E+12,Brushing teeth,-6.6764026,11.13692,4.7911034
Enter ID Here,1.75425E+12,Brushing teeth,-7.3112235,5.0450315,2.9992306
Enter ID Here,1.75425E+12,Brushing teeth,-10.078086,-6.0236144,1.8206192
Enter ID Here,1.75425E+12,Brushing teeth,-8.661117,0.13055757,4.964781
Enter ID Here,1.75425E+12,Brushing teeth,-8.950978,-1.5822619,3.2447748
Enter ID Here,1.75425E+12,Brushing teeth,-8.755741,-3.8053339,4.08202
Enter ID Here,1.75425E+12,Brushing teeth,-6.6428647,9.449253,6.76384
Enter ID Here,1.75425E+12,Brushing teeth,-6.989022,9.824158,5.5421085
Enter ID Here,1.75425E+12,Brushing teeth,-6.92554,7.9640117,4.9815497
Enter ID Here,1.75425E+12,Brushing teeth,-9.8061905,-2.548867,2.4398694
Enter ID Here,1.75425E+12,Brushing teeth,-9.975077,-6.7279067,2.1440187
Enter ID Here,1.75425E+12,Brushing teeth,-8.332927,6.139799,4.2089844
Enter ID Here,1.75425E+12,Brushing teeth,-6.9063754,6.733896,6.7602468
Enter ID Here,1.75425E+12,Brushing teeth,-9.983461,-4.3670907,4.295224
Enter ID Here,1.75425E+12,Brushing teeth,-8.531757,-0.075459875,3.7394562
Enter ID Here,1.75425E+12,Brushing teeth,-10.305663,-8.742566,2.2997296
Enter ID Here,1.75425E+12,Brushing teeth,-9.291147,-3.291488,4.1910176
Enter ID Here,1.75425E+12,Brushing teeth,-7.4525614,9.044405,2.6351068
Enter ID Here,1.75425E+12,Brushing teeth,-9.160589,1.6038219,5.3384867
Enter ID Here,1.75425E+12,Brushing teeth,-7.1662927,7.263313,3.8125205
Enter ID Here,1.75425E+12,Brushing teeth,-9.099503,-0.9103096,4.0592623
Enter ID Here,1.75425E+12,Brushing teeth,-8.452704,4.1478977,5.1851716
Enter ID Here,1.75425E+12,Brushing teeth,-8.786883,-0.3413661,2.4841871
Enter ID Here,1.75425E+12,Brushing teeth,-6.9135623,8.100558,5.596009
Enter ID Here,1.75425E+12,Brushing teeth,-8.929419,-2.3093119,4.5635257
Enter ID Here,1.75425E+12,Brushing teeth,-6.9063754,5.7780704,3.9394846
Enter ID Here,1.75425E+12,Brushing teeth,-7.726852,7.1890507,3.515472
Enter ID Here,1.75425E+12,Brushing teeth,-10.2769165,-7.5112524,1.587053
Enter ID Here,1.75425E+12,Brushing teeth,-9.684017,0.067075446,2.72494
Enter ID Here,1.75425E+12,Brushing teeth,-11.811268,-8.410782,-0.12097536
Enter ID Here,1.75425E+12,Brushing teeth,-9.3546295,-2.0014834,1.8194215
Enter ID Here,1.75425E+12,Brushing teeth,-10.199061,-8.7401705,2.314103
Enter ID Here,1.75425E+12,Brushing teeth,-9.226467,2.4770005,5.423529
Enter ID Here,1.75425E+12,Brushing teeth,-8.383233,-0.10779983,4.370684
Enter ID Here,1.75425E+12,Brushing teeth,-7.214204,7.4956813,3.3681457
Enter ID Here,1.75425E+12,Brushing teeth,-9.584602,-3.6472273,2.709369
Enter ID Here,1.75425E+12,Brushing teeth,-11.817256,-7.240555,1.5810641
Enter ID Here,1.75425E+12,Brushing teeth,-9.315103,-2.0218456,1.8493658
Enter ID Here,1.75425E+12,Brushing teeth,-6.9435062,6.5937557,5.0522184
Enter ID Here,1.75425E+12,Brushing teeth,-6.497934,8.744962,3.6077008
Enter ID Here,1.75425E+12,Brushing teeth,-10.911737,-3.5921297,0.4850992
Enter ID Here,1.75425E+12,Brushing teeth,-8.019109,5.171996,3.008813
Enter ID Here,1.75425E+12,Brushing teeth,-7.8346515,3.6208763,3.648425
Enter ID Here,1.75425E+12,Brushing teeth,-8.768917,-3.6891496,6.024812
Enter ID Here,1.75425E+12,Brushing teeth,-10.124799,-4.6078434,2.3692005
Enter ID Here,1.75425E+12,Brushing teeth,-9.400145,-2.0709543,2.3440473
Enter ID Here,1.75425E+12,Brushing teeth,-8.265851,1.5427352,3.4819343
Enter ID Here,1.75425E+12,Brushing teeth,-8.831202,0.32819057,5.797235
Enter ID Here,1.75425E+12,Brushing teeth,-6.5051203,11.544164,3.787367
Enter ID Here,1.75425E+12,Brushing teeth,-11.2710705,-2.8447175,2.3620138
Enter ID Here,1.75425E+12,Brushing teeth,-9.2504225,-2.473407,5.930188
Enter ID Here,1.75425E+12,Brushing teeth,-8.661117,-2.8866398,5.307345
Enter ID Here,1.75425E+12,Brushing teeth,-9.98945,-0.7342366,2.7201488
Enter ID Here,1.75425E+12,Brushing teeth,-8.756939,-1.1726226,4.6294036
Enter ID Here,1.75425E+12,Brushing teeth,-9.723544,-3.0734928,2.6614578
Enter ID Here,1.75425E+12,Brushing teeth,-7.2213902,6.8536735,5.0833607
Enter ID Here,1.75425E+12,Brushing teeth,-8.499417,0.74621433,3.1154149
Enter ID Here,1.75425E+12,Brushing teeth,-9.507944,2.7213466,3.3753324
Enter ID Here,1.75425E+12,Brushing teeth,-10.653018,-7.213006,2.292543
Enter ID Here,1.75425E+12,Brushing teeth,-10.169117,-1.5595042,2.4770005
Enter ID Here,1.75425E+12,Brushing teeth,-6.883618,5.216314,4.6653366
Enter ID Here,1.75425E+12,Brushing teeth,-7.2261815,4.804279,4.1107664
Enter ID Here,1.75425E+12,Brushing teeth,-8.616799,-1.3882222,4.441353
Enter ID Here,1.75425E+12,Brushing teeth,-8.698248,-4.921661,3.114217
Enter ID Here,1.75425E+12,Brushing teeth,-10.358365,-5.4570665,2.2590053
Enter ID Here,1.75425E+12,Brushing teeth,-7.223786,1.0444605,5.321718
Enter ID Here,1.75425E+12,Brushing teeth,-10.308059,-5.893057,1.5630975
Enter ID Here,1.75425E+12,Brushing teeth,-6.711138,4.131129,7.42621
Enter ID Here,1.75425E+12,Brushing teeth,-9.4660225,-4.333553,4.6880946
Enter ID Here,1.75425E+12,Brushing teeth,-11.530988,-9.952319,0.7977187
Enter ID Here,1.75425E+12,Brushing teeth,-7.137546,2.5285048,3.5442188
Enter ID Here,1.75425E+12,Brushing teeth,-6.909969,5.95055,6.4775715
Enter ID Here,1.75425E+12,Brushing teeth,-7.9532313,1.6038219,6.033197
Enter ID Here,1.75425E+12,Brushing teeth,-8.99889,-3.1932704,3.2950814
Enter ID Here,1.75425E+12,Brushing teeth,-10.14037,-6.326652,1.4984176
Enter ID Here,1.75425E+12,Brushing teeth,-9.9630995,-6.646458,1.4780554
Enter ID Here,1.75425E+12,Brushing teeth,-7.5687456,2.01945,6.2068744
Enter ID Here,1.75425E+12,Brushing teeth,-6.2212477,6.725511,6.405705
Enter ID Here,1.75425E+12,Brushing teeth,-9.970286,-4.316784,3.1717105
Enter ID Here,1.75425E+12,Brushing teeth,-10.735664,-7.8154874,0.5174391
Enter ID Here,1.75425E+12,Brushing teeth,-9.657666,-2.1883364,2.8123777
Enter ID Here,1.75425E+12,Brushing teeth,-8.253873,0.46952814,4.455726
Enter ID Here,1.75425E+12,Brushing teeth,-6.640469,4.520406,7.256126
Enter ID Here,1.75425E+12,Brushing teeth,-10.063712,-5.315729,0.69470996
Enter ID Here,1.75425E+12,Brushing teeth,-10.178699,-7.325597,-0.20002857
Enter ID Here,1.75425E+12,Brushing teeth,-8.755741,-0.9414518,4.3934417
Enter ID Here,1.75425E+12,Brushing teeth,-6.887211,6.6165137,5.7672906
Enter ID Here,1.75425E+12,Brushing teeth,-10.970428,-9.81218,-0.010779982
Enter ID Here,1.75425E+12,Brushing teeth,-9.545075,-2.5740201,2.2733786
Enter ID Here,1.75425E+12,Brushing teeth,-10.441011,-3.5454164,1.8996725
Enter ID Here,1.75425E+12,Brushing teeth,-7.966407,2.405134,3.345388
Enter ID Here,1.75425E+12,Brushing teeth,-9.997835,-2.992044,2.056581
Enter ID Here,1.75425E+12,Brushing teeth,-7.896936,4.971967,2.7429066
Enter ID Here,1.75425E+12,Brushing teeth,-7.003395,9.398947,4.8473988
Enter ID Here,1.75425E+12,Brushing teeth,-8.394013,2.6267223,4.0844154
Enter ID Here,1.75425E+12,Brushing teeth,-9.4791975,-4.71205,4.4425507
Enter ID Here,1.75425E+12,Brushing teeth,-11.054273,-10.534438,3.9766157
Enter ID Here,1.75425E+12,Brushing teeth,-8.9821205,-0.8204764,5.814004
Enter ID Here,1.75425E+12,Brushing teeth,-6.1158433,5.8199925,7.0812507
Enter ID Here,1.75425E+12,Brushing teeth,-5.621162,11.248313,5.615173
Enter ID Here,1.75425E+12,Brushing teeth,-9.106689,0.8671897,4.1071734
Enter ID Here,1.75425E+12,Brushing teeth,-9.808586,-6.2308297,4.2784553
Enter ID Here,1.75425E+12,Brushing teeth,-10.615887,-8.500615,5.242665
Enter ID Here,1.75425E+12,Brushing teeth,-8.302982,1.463682,4.0317135
Enter ID Here,1.75425E+12,Brushing teeth,-7.8035097,3.8388715,5.6139755
Enter ID Here,1.75425E+12,Brushing teeth,-9.255214,-0.18206193,2.426694
Enter ID Here,1.75425E+12,Brushing teeth,-11.089008,-9.367805,4.01734
Enter ID Here,1.75425E+12,Brushing teeth,-9.137832,-0.32819057,3.6795673
Enter ID Here,1.75425E+12,Brushing teeth,-10.04335,-5.1049204,4.238929
Enter ID Here,1.75425E+12,Brushing teeth,-8.227522,2.132041,3.740654
Enter ID Here,1.75425E+12,Brushing teeth,-7.597492,7.5519767,4.1155577
Enter ID Here,1.75425E+12,Brushing teeth,-6.870442,7.4286056,4.296422
Enter ID Here,1.75425E+12,Brushing teeth,-9.396551,-5.4199357,4.525197
Enter ID Here,1.75425E+12,Brushing teeth,-8.506604,0.7102811,3.0483394
Enter ID Here,1.75425E+12,Brushing teeth,-8.701841,0.34376165,3.2735214
Enter ID Here,1.75425E+12,Brushing teeth,-9.436078,-3.681963,5.0510206
Enter ID Here,1.75425E+12,Brushing teeth,-7.486099,4.6210194,4.0365047
Enter ID Here,1.75425E+12,Brushing teeth,-7.262115,8.540142,5.749324
Enter ID Here,1.75425E+12,Brushing teeth,-7.6202497,1.2217313,5.2977624
